feature,importance
Cement,0.32873428340788596
Blast Furnace Slag,0.07681052976848973
Fly Ash,0.01863202298354087
Water,0.12415414548072888
Superplasticizer,0.05504548297957036
Coarse Aggregate,0.027341104846948964
Fine Aggregate,0.0358481747247571
Age,0.3334342558080781
